DateTime,Open,High,Low,Close,Volume
2025-12-15 00:00:00,4555,4565,4251,4308,5900.0
2025-12-12 00:00:00,4498,4622,4463,4555,8520.0
2025-12-11 00:00:00,4441,4441,4441,4441,343.0
2025-12-10 00:00:00,4168,4448,4159,4387,343.0
2025-12-09 00:00:00,4013,4198,4009,4149,966.0
2025-12-08 00:00:00,3927,4053,3927,4005,1090.0
2025-12-05 00:00:00,3850,3980,3801,3943,1040.0
2025-12-04 00:00:00,3876,3903,3810,3847,1020.0
2025-12-03 00:00:00,3904,3904,3823,3875,1290.0
2025-12-02 00:00:00,3961,3961,3855,3888,1160.0
2025-12-01 00:00:00,3944,4003,3895,3961,1010.0
2025-11-28 00:00:00,3776,3998,3750,3945,2390.0
2025-11-27 00:00:00,3645,3790,3645,3781,1490.0
2025-11-26 00:00:00,3675,3778,3613,3643,1690.0
2025-11-25 00:00:00,3713,3719,3511,3653,1920.0
2025-11-24 00:00:00,3754,3755,3665,3704,2080.0
2025-11-21 00:00:00,3903,3940,3742,3782,2170.0
2025-11-20 00:00:00,3795,3980,3791,3879,1930.0
2025-11-19 00:00:00,4046,4054,3765,3796,2820.0
2025-11-18 00:00:00,3990,4094,3950,4052,1860.0
2025-11-17 00:00:00,4052,4184,3952,4012,3220.0
2025-11-14 00:00:00,4086,4139,3970,4072,1510.0
2025-11-13 00:00:00,4157,4193,4084,4109,3360.0
2025-11-12 00:00:00,4165,4291,4121,4169,3210.0
2025-11-11 00:00:00,4323,4360,4103,4152,4140.0
2025-11-10 00:00:00,4322,4406,4235,4358,3800.0
2025-11-07 00:00:00,4430,4439,4304,4322,4090.0
2025-11-06 00:00:00,4526,4526,4377,4434,3880.0
2025-11-05 00:00:00,4777,4777,4560,4575,3690.0
2025-11-04 00:00:00,4720,4774,4628,4764,3390.0
2025-11-03 00:00:00,4424,4723,4424,4709,5920.0
2025-10-31 00:00:00,4350,4583,4349,4424,5050.0
2025-10-30 00:00:00,4317,4353,4258,4340,2890.0
2025-10-29 00:00:00,4250,4352,4206,4321,2780.0
2025-10-28 00:00:00,4372,4400,4235,4259,3250.0
2025-10-27 00:00:00,4518,4518,4326,4372,4230.0
2025-10-24 00:00:00,4559,4637,4510,4518,4250.0
2025-10-23 00:00:00,4580,4680,4473,4559,7050.0
2025-10-22 00:00:00,4206,4574,4200,4566,10680.0
2025-10-21 00:00:00,4105,4219,4105,4200,5500.0
