Date,Open,High,Low,Close,Volume
1974-04-01,914,914,900,914,
1974-04-02,905,928,874,905,
1974-04-03,851,900,851,851,
1974-04-04,829,868,825,829,
1974-04-05,831,860,820,831,
1974-04-08,812,846,803,812,
1974-04-09,868,870,808,868,
1974-04-10,954,960,889,954,
1974-04-11,971,977,941,971,
1974-04-16,921,980,917,921,
1974-04-17,912,929,897,912,
1974-04-18,953,971,950,953,
1974-04-19,958,964,928,958,
1974-04-22,925,944,912,925,
1974-04-23,915,928,885,915,
1974-04-24,914,915,896,914,
1974-04-25,932,940,908,932,
1974-04-26,965,975,920,965,
1974-04-29,1033,1045,995,1033,
1974-04-30,1084,1090,1034,1084,
1974-05-01,1072,1090,1050,1072,
1974-05-02,1105,1109,1080,1105,
1974-05-03,1117,1140,1099,1117,
1974-05-06,1110,1137,1110,1110,
1974-05-08,1100,1100,1070,1100,
1974-05-09,1080,1100,1070,1080,
1974-05-10,1037,1070,1035,1037,
1974-05-13,1028,1045,1025,1028,
1974-05-14,1040,1053,1037,1040,
1974-05-15,991,1033,991,991,
1974-05-16,1000,1010,994,1000,
1974-05-17,1015,1017,985,1015,
1974-05-20,1030,1055,1030,1030,
1974-05-21,1007,1020,1000,1007,
1974-05-22,1011,1028,1000,1011,
1974-05-23,1005,1005,989,1005,
1974-05-24,995,1015,995,995,
1974-05-28,977,1000,970,977,
1974-05-29,935,977,935,935,
1974-05-30,940,985,940,940,
1974-05-31,800,910,800,800,
1974-06-03,775,775,767,775,
1974-06-04,775,775,771,775,
1974-06-05,778,778,771,778,
1974-06-06,757,757,755,757,
1974-06-07,821,821,765,821,
1974-06-10,866,866,828,866,
1974-06-11,834,834,829,834,
1974-06-12,848,848,828,848,
1974-06-13,841,841,840,841,
1974-06-14,853,853,831,853,
1974-06-17,868,868,853,868,
1974-06-18,884,884,877,884,
1974-06-21,895,895,878,895,
1974-06-24,895,895,895,895,
1974-06-25,875,875,875,875,
1974-06-26,911,911,870,911,
1974-06-27,895,895,895,895,
1974-06-28,902,902,890,902,
1974-07-01,903,903,900,903,
1974-07-02,905,905,903,905,
1974-07-03,887,887,886,887,
1974-07-04,875,875,874,875,
1974-07-08,880,880,860,880,
1974-07-09,884,884,874,884,
1974-07-10,891,891,891,891,
1974-07-11,895,895,888,895,
1974-07-12,917,917,895,917,
1974-07-15,950,950,925,950,
1974-07-16,966,966,948,966,
1974-07-17,975,975,970,975,
1974-07-18,1010,1010,985,1010,
1974-07-19,995,995,995,995,
1974-07-22,1001,1001,995,1001,
1974-07-24,961,961,955,961,
1974-07-25,985,985,964,985,
1974-07-26,977,977,977,977,
1974-07-29,1001,1001,986,1001,
1974-07-30,1008,1008,1006,1008,
1974-07-31,1024,1024,1009,1024,
1974-08-01,807,828,804,807,
1974-08-02,806,815,800,806,
1974-08-05,788,800,780,788,
1974-08-06,780,786,768,780,
1974-08-07,806,806,779,806,
1974-08-08,784,812,784,784,
1974-08-09,774,795,770,774,
1974-08-12,745,768,719,745,
1974-08-13,768,785,754,768,
1974-08-14,764,779,758,764,
1974-08-15,760,765,740,760,
1974-08-16,774,776,765,774,
1974-08-19,773,786,771,773,
1974-08-20,766,775,753,766,
1974-08-21,774,778,760,774,
1974-08-22,768,783,768,768,
1974-08-23,772,776,768,772,
1974-08-27,771,782,770,771,
1974-08-28,755,778,755,755,
1974-08-29,758,760,754,758,
1974-08-30,751,760,749,751,
1974-09-02,752,753,750,752,
1974-09-03,786,787,750,786,
1974-09-04,795,818,793,795,
1974-09-05,801,810,790,801,
1974-09-06,802,806,790,802,
1974-09-09,809,817,808,809,
1974-09-10,790,818,786,790,
1974-09-11,785,791,783,785,
1974-09-12,785,795,785,785,
1974-09-13,750,775,750,750,
1974-09-16,716,755,716,716,
1974-09-17,711,730,711,711,
1974-09-18,709,720,706,709,
1974-09-19,720,725,720,720,
1974-09-20,711,729,700,711,
1974-09-23,730,734,710,730,
1974-09-24,729,738,728,729,
1974-09-25,735,740,734,735,
1974-09-26,736,739,730,736,
1974-09-27,727,743,727,727,
1974-09-30,722,738,722,722,
1974-10-01,777,779,761,777,
1974-10-02,783,789,767,783,
1974-10-03,820,820,782,820,
1974-10-04,818,830,811,818,
1974-10-07,792,812,785,792,
1974-10-08,804,806,791,804,
1974-10-09,830,835,808,830,
1974-10-10,844,850,835,844,
1974-10-11,833,842,829,833,
1974-10-14,846,850,838,846,
1974-10-15,865,867,847,865,
1974-10-16,852,880,848,852,
1974-10-17,844,850,835,844,
1974-10-18,873,878,840,873,
1974-10-21,885,898,873,885,
1974-10-22,887,893,878,887,
1974-10-23,884,905,879,884,
1974-10-24,872,884,870,872,
1974-10-25,882,882,856,882,
1974-10-28,861,867,848,861,
1974-10-29,866,881,865,866,
1974-10-30,862,872,853,862,
1974-10-31,877,878,852,877,
1974-11-01,881,890,880,881,
1974-11-04,882,889,876,882,
1974-11-05,899,899,888,899,
1974-11-06,901,912,901,901,
1974-11-07,893,920,887,893,
1974-11-08,904,908,899,904,
1974-11-11,925,926,915,925,
1974-11-12,924,935,913,924,
1974-11-13,903,916,892,903,
1974-11-14,875,901,875,875,
1974-11-15,855,873,855,855,
1974-11-18,858,875,856,858,
1974-11-19,871,871,853,871,
1974-11-20,887,888,877,887,
1974-11-21,870,887,864,870,
1974-11-22,842,856,838,842,
1974-11-25,836,848,835,836,
1974-11-26,850,851,839,850,
1974-11-27,848,860,844,848,
1974-11-28,820,845,820,820,
1974-11-29,813,819,809,813,
1974-12-02,805,824,805,805,
1974-12-03,827,828,802,827,
1974-12-04,801,833,801,801,
1974-12-05,765,808,760,765,
1974-12-06,770,775,761,770,
1974-12-09,773,773,761,773,
1974-12-10,805,806,780,805,
1974-12-11,794,809,794,794,
1974-12-12,790,795,785,790,
1974-12-13,795,798,788,795,
1974-12-16,807,807,791,807,
1974-12-17,807,814,807,807,
1974-12-18,813,813,790,813,
1974-12-19,832,850,812,832,
1974-12-20,820,840,820,820,
1974-12-23,838,840,832,838,
1974-12-24,835,844,835,835,
1974-12-30,745,748,743,745,
1974-12-31,740,740,740,740,
1975-01-02,683,693,679,683,
