Exchange Date;Exchange Time;Local Date;Local Time;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
12. Jan 26;14:20;12. Jan 26;14:20;3.876;11;0%;3.868;3.868;3.884;70;3.880;3.885
12. Jan 26;14:15;12. Jan 26;14:15;3.865;-32;-1%;3.900;3.855;3.906;101;3.865;3.868
12. Jan 26;14:10;12. Jan 26;14:10;3.897;8;0%;3.890;3.881;3.897;49;3.892;3.897
12. Jan 26;14:05;12. Jan 26;14:05;3.889;-8;0%;3.897;3.876;3.900;78;3.890;3.893
12. Jan 26;14:00;12. Jan 26;14:00;3.897;11;0%;3.893;3.888;3.900;102;3.897;3.900
12. Jan 26;13:55;12. Jan 26;13:55;3.886;5;0%;3.882;3.881;3.892;16;3.890;3.893
12. Jan 26;13:50;12. Jan 26;13:50;3.881;20;1%;3.867;3.866;3.884;87;3.881;3.882
12. Jan 26;13:45;12. Jan 26;13:45;3.861;6;0%;3.856;3.856;3.866;13;3.862;3.864
12. Jan 26;13:40;12. Jan 26;13:40;3.855;-7;0%;3.860;3.855;3.870;40;3.856;3.861
12. Jan 26;13:35;12. Jan 26;13:35;3.862;-10;0%;3.869;3.862;3.869;11;3.860;3.863
12. Jan 26;13:30;12. Jan 26;13:30;3.872;5;0%;3.864;3.863;3.875;35;3.869;3.874
12. Jan 26;13:25;12. Jan 26;13:25;3.867;5;0%;3.865;3.862;3.872;20;3.862;3.867
12. Jan 26;13:20;12. Jan 26;13:20;3.862;8;0%;3.848;3.848;3.867;21;3.862;3.865
12. Jan 26;13:15;12. Jan 26;13:15;3.854;-9;0%;3.861;3.854;3.866;49;3.848;3.853
12. Jan 26;13:10;12. Jan 26;13:10;3.863;34;1%;3.834;3.832;3.869;86;3.863;3.867
12. Jan 26;13:05;12. Jan 26;13:05;3.829;-8;0%;3.836;3.826;3.843;44;3.828;3.832
12. Jan 26;13:00;12. Jan 26;13:00;3.837;-1;0%;3.835;3.827;3.844;61;3.835;3.841
12. Jan 26;12:55;12. Jan 26;12:55;3.838;1;0%;3.836;3.834;3.840;37;3.835;3.839
12. Jan 26;12:50;12. Jan 26;12:50;3.837;9;0%;3.829;3.825;3.837;46;3.836;3.839
12. Jan 26;12:45;12. Jan 26;12:45;3.828;-7;0%;3.832;3.827;3.833;13;3.830;3.831
12. Jan 26;12:40;12. Jan 26;12:40;3.835;-10;0%;3.843;3.830;3.848;67;3.832;3.835
12. Jan 26;12:35;12. Jan 26;12:35;3.845;17;0%;3.828;3.818;3.850;129;3.841;3.845
12. Jan 26;12:30;12. Jan 26;12:30;3.828;-1;0%;3.827;3.820;3.834;47;3.823;3.828
12. Jan 26;12:25;12. Jan 26;12:25;3.829;12;0%;3.817;3.808;3.834;289;3.827;3.830
12. Jan 26;12:20;12. Jan 26;12:20;3.817;2;0%;3.817;3.800;3.823;1.288;3.817;3.824
12. Jan 26;12:15;12. Jan 26;12:15;3.815;8;0%;3.805;3.779;3.820;193;3.813;3.817
12. Jan 26;12:10;12. Jan 26;12:10;3.807;11;0%;3.789;3.789;3.820;76;3.804;3.809
12. Jan 26;12:05;12. Jan 26;12:05;3.796;-69;-2%;3.858;3.789;3.858;294;3.792;3.797
12. Jan 26;12:00;12. Jan 26;12:00;3.865;25;1%;3.840;3.837;3.865;104;3.860;3.864
12. Jan 26;11:55;12. Jan 26;11:55;3.840;7;0%;3.836;3.834;3.855;176;3.837;3.840
12. Jan 26;11:50;12. Jan 26;11:50;3.833;-3;0%;3.836;3.815;3.840;141;3.832;3.836
12. Jan 26;11:45;12. Jan 26;11:45;3.836;-25;-1%;3.860;3.829;3.861;223;3.834;3.836
12. Jan 26;11:40;12. Jan 26;11:40;3.861;-21;-1%;3.881;3.856;3.881;95;3.858;3.861
12. Jan 26;11:35;12. Jan 26;11:35;3.882;-6;0%;3.889;3.878;3.898;119;3.881;3.885
12. Jan 26;11:30;12. Jan 26;11:30;3.888;-30;-1%;3.917;3.888;3.920;98;3.887;3.889
12. Jan 26;11:25;12. Jan 26;11:25;3.918;-8;0%;3.926;3.915;3.931;51;3.918;3.920
12. Jan 26;11:20;12. Jan 26;11:20;3.926;2;0%;3.924;3.918;3.926;67;3.923;3.926
12. Jan 26;11:15;12. Jan 26;11:15;3.924;7;0%;3.919;3.910;3.927;127;3.921;3.926
12. Jan 26;11:10;12. Jan 26;11:10;3.917;10;0%;3.912;3.911;3.926;63;3.916;3.919
12. Jan 26;11:05;12. Jan 26;11:05;3.907;-23;-1%;3.928;3.895;3.929;235;3.911;3.912
12. Jan 26;11:00;12. Jan 26;11:00;3.930;49;1%;3.885;3.863;3.930;299;3.925;3.930
12. Jan 26;10:55;12. Jan 26;10:55;3.881;-2;0%;3.886;3.875;3.896;157;3.881;3.884
12. Jan 26;10:50;12. Jan 26;10:50;3.883;-4;0%;3.889;3.877;3.911;375;3.883;3.887
12. Jan 26;10:45;12. Jan 26;10:45;3.887;-14;0%;3.900;3.879;3.903;248;3.886;3.889
12. Jan 26;10:40;12. Jan 26;10:40;3.901;-20;-1%;3.921;3.900;3.932;355;3.900;3.901
12. Jan 26;10:35;12. Jan 26;10:35;3.921;4;0%;3.920;3.916;3.961;511;3.916;3.921
09. Jan 26;17:55;09. Jan 26;17:55;3.917;-1;0%;3.916;3.900;3.936;400;3.914;3.917
09. Jan 26;17:50;09. Jan 26;17:50;3.918;-47;-1%;3.961;3.899;3.970;1.396;3.917;3.922
09. Jan 26;17:45;09. Jan 26;17:45;3.965;12;0%;3.952;3.950;3.989;435;3.964;3.967
