Datum;LCCc1 (TRDPRC_1);LCCc1 (TRDPRC_1);LCCc1 (TRDPRC_1);LCCc1 (TRDPRC_1);LCCc1 (Volumen)
;Eröffnungskurs;Höchst;Tiefst;Schlusskurs;Volumen
15.12.2025;4555;4565;4251;4308;5.9 K
12.12.2025;4498;4622;4463;4555;8.52 K
11.12.2025;4441;4441;4441;4441;343
10.12.2025;4168;4448;4159;4387;343
09.12.2025;4013;4198;4009;4149;966
08.12.2025;3927;4053;3927;4005;1.09 K
05.12.2025;3850;3980;3801;3943;1.04 K
04.12.2025;3876;3903;3810;3847;1.02 K
03.12.2025;3904;3904;3823;3875;1.29 K
02.12.2025;3961;3961;3855;3888;1.16 K
01.12.2025;3944;4003;3895;3961;1.01 K
28.11.2025;3776;3998;3750;3945;2.39 K
27.11.2025;3645;3790;3645;3781;1.49 K
26.11.2025;3675;3778;3613;3643;1.69 K
25.11.2025;3713;3719;3511;3653;1.92 K
24.11.2025;3754;3755;3665;3704;2.08 K
21.11.2025;3903;3940;3742;3782;2.17 K
20.11.2025;3795;3980;3791;3879;1.93 K
19.11.2025;4046;4054;3765;3796;2.82 K
18.11.2025;3990;4094;3950;4052;1.86 K
17.11.2025;4052;4184;3952;4012;3.22 K
14.11.2025;4086;4139;3970;4072;1.51 K
13.11.2025;4157;4193;4084;4109;3.36 K
12.11.2025;4165;4291;4121;4169;3.21 K
11.11.2025;4323;4360;4103;4152;4.14 K
10.11.2025;4322;4406;4235;4358;3.8 K
07.11.2025;4430;4439;4304;4322;4.09 K
06.11.2025;4526;4526;4377;4434;3.88 K
05.11.2025;4777;4777;4560;4575;3.69 K
04.11.2025;4720;4774;4628;4764;3.39 K
03.11.2025;4424;4723;4424;4709;5.92 K
31.10.2025;4350;4583;4349;4424;5.05 K
30.10.2025;4317;4353;4258;4340;2.89 K
29.10.2025;4250;4352;4206;4321;2.78 K
28.10.2025;4372;4400;4235;4259;3.25 K
27.10.2025;4518;4518;4326;4372;4.23 K
24.10.2025;4559;4637;4510;4518;4.25 K
23.10.2025;4580;4680;4473;4559;7.05 K
22.10.2025;4206;4574;4200;4566;10.68 K
21.10.2025;4105;4219;4105;4200;5.5 K
20.10.2025;4106;4195;4036;4099;4.77 K
17.10.2025;4270;4298;4020;4106;6.85 K
16.10.2025;4124;4256;4124;4198;7.43 K
15.10.2025;4174;4199;4033;4091;8.06 K
14.10.2025;4159;4221;4087;4206;7.12 K
13.10.2025;4140;4247;4007;4155;7.66 K
