Variant,Model,Horizon,Quantile,QL
V- (-3m),HAR-D-QR,1d,0.5,0.0024718335638138867
V- (-3m),HAR-D-QR,1d,0.95,0.0011611191355421337
V- (-3m),HAR-D-QR,1w,0.5,0.0016411894048681027
V- (-3m),HAR-D-QR,1w,0.95,0.0006850766577352159
V- (-3m),HAR-D-QR,1m,0.5,0.0012702458212775544
V- (-3m),HAR-D-QR,1m,0.95,0.0005086576299311798
V- (-3m),HAR-D-QR,3m,0.5,0.0012064282739226396
V- (-3m),HAR-D-QR,3m,0.95,0.0005687527310848948
V- (-3m),HAR-D-QR,6m,0.5,0.0013088352392863895
V- (-3m),HAR-D-QR,6m,0.95,0.0007699326636685308
V- (-3m),HAR-D-QR,12m,0.5,0.0013811552749551335
V- (-3m),HAR-D-QR,12m,0.95,0.0010273636134991097
V- (-3m),HAR-XD-QR,1d,0.5,0.0024718051797358222
V- (-3m),HAR-XD-QR,1d,0.95,0.001162595071326697
V- (-3m),HAR-XD-QR,1w,0.5,0.001646406682779676
V- (-3m),HAR-XD-QR,1w,0.95,0.0006852555033079893
V- (-3m),HAR-XD-QR,1m,0.5,0.001277910583030197
V- (-3m),HAR-XD-QR,1m,0.95,0.0005351100116222965
V- (-3m),HAR-XD-QR,3m,0.5,0.001223460919525817
V- (-3m),HAR-XD-QR,3m,0.95,0.0006066215489987487
V- (-3m),HAR-XD-QR,6m,0.5,0.0013308252112091549
V- (-3m),HAR-XD-QR,6m,0.95,0.0008391070586464062
V- (-3m),HAR-XD-QR,12m,0.5,0.0013645217025742328
V- (-3m),HAR-XD-QR,12m,0.95,0.0010993672656241804
V0 (base),HAR-D-QR,1d,0.5,0.0024710109771600456
V0 (base),HAR-D-QR,1d,0.95,0.0011607684079733697
V0 (base),HAR-D-QR,1w,0.5,0.0016432878321329897
V0 (base),HAR-D-QR,1w,0.95,0.0006865576782303118
V0 (base),HAR-D-QR,1m,0.5,0.0012719997648286824
V0 (base),HAR-D-QR,1m,0.95,0.0005123484567709355
V0 (base),HAR-D-QR,3m,0.5,0.001208794418805695
V0 (base),HAR-D-QR,3m,0.95,0.0005777533553062385
V0 (base),HAR-D-QR,6m,0.5,0.001309621088668833
V0 (base),HAR-D-QR,6m,0.95,0.000746760684423067
V0 (base),HAR-D-QR,12m,0.5,0.0013875974329294642
V0 (base),HAR-D-QR,12m,0.95,0.0009761330852492778
V0 (base),HAR-XD-QR,1d,0.5,0.0024711463060400245
V0 (base),HAR-XD-QR,1d,0.95,0.001161937251372474
V0 (base),HAR-XD-QR,1w,0.5,0.001648650616411103
V0 (base),HAR-XD-QR,1w,0.95,0.0006863751454094998
V0 (base),HAR-XD-QR,1m,0.5,0.0012786183055471954
V0 (base),HAR-XD-QR,1m,0.95,0.0005398507927716134
V0 (base),HAR-XD-QR,3m,0.5,0.0012274704744584413
V0 (base),HAR-XD-QR,3m,0.95,0.0006099550415580098
V0 (base),HAR-XD-QR,6m,0.5,0.0013327969637914674
V0 (base),HAR-XD-QR,6m,0.95,0.0008073114637824747
V0 (base),HAR-XD-QR,12m,0.5,0.001378375016172259
V0 (base),HAR-XD-QR,12m,0.95,0.0010470922576315028
V+ (+3m),HAR-D-QR,1d,0.5,0.0024717408776645062
V+ (+3m),HAR-D-QR,1d,0.95,0.0011602702009369777
V+ (+3m),HAR-D-QR,1w,0.5,0.0016406279547147057
V+ (+3m),HAR-D-QR,1w,0.95,0.0006850239310486412
V+ (+3m),HAR-D-QR,1m,0.5,0.0012717166800936357
V+ (+3m),HAR-D-QR,1m,0.95,0.0004977165196866191
V+ (+3m),HAR-D-QR,3m,0.5,0.001204699184359198
V+ (+3m),HAR-D-QR,3m,0.95,0.0005556728017042565
V+ (+3m),HAR-D-QR,6m,0.5,0.0013089625113371173
V+ (+3m),HAR-D-QR,6m,0.95,0.0006805412514394029
V+ (+3m),HAR-D-QR,12m,0.5,0.001389383751378975
V+ (+3m),HAR-D-QR,12m,0.95,0.0009566731097388458
V+ (+3m),HAR-XD-QR,1d,0.5,0.0024716646224191108
V+ (+3m),HAR-XD-QR,1d,0.95,0.001161954883033006
V+ (+3m),HAR-XD-QR,1w,0.5,0.001645857854457011
V+ (+3m),HAR-XD-QR,1w,0.95,0.0006851323896238027
V+ (+3m),HAR-XD-QR,1m,0.5,0.0012768604888561351
V+ (+3m),HAR-XD-QR,1m,0.95,0.000525451043776686
V+ (+3m),HAR-XD-QR,3m,0.5,0.0012242892889223192
V+ (+3m),HAR-XD-QR,3m,0.95,0.0005948782601949998
V+ (+3m),HAR-XD-QR,6m,0.5,0.0013314132383032814
V+ (+3m),HAR-XD-QR,6m,0.95,0.0007383916914174378
V+ (+3m),HAR-XD-QR,12m,0.5,0.0013756700222851603
V+ (+3m),HAR-XD-QR,12m,0.95,0.0010293088075458592
