Horizon,Model,N,N_no,n_viol,VR (%),VR_no (%),LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,pi0,pi1
1d,HAR-QR,7737,7737,400,5.17,5.17,0.466,0.495,7.032,0.008,7.498,0.0235,0.05,0.0825
1d,HAR-X-QR,7737,7737,398,5.14,5.14,0.335,0.5626,6.256,0.0124,6.592,0.037,0.0499,0.0804
1w,HAR-QR,7733,1547,84,5.39,5.43,0.586,0.4439,0.045,0.8314,0.631,0.7292,0.054,0.0595
1w,HAR-X-QR,7733,1547,81,5.41,5.24,0.179,0.6725,0.448,0.5034,0.626,0.7311,0.0532,0.037
1m,HAR-QR,7716,351,22,6.35,6.27,1.103,0.2936,1.682,0.1947,2.785,0.2485,0.0579,0.1364
1m,HAR-X-QR,7716,351,28,7.14,7.98,5.591,0.018,3.149,0.076,8.741,0.0126,0.0714,0.1786
3m,HAR-QR,7672,117,8,8.15,6.84,0.75,0.3865,2.88,0.0897,3.63,0.1628,0.0556,0.25
3m,HAR-X-QR,7672,117,12,9.68,10.26,5.29,0.0214,5.479,0.0192,10.769,0.0046,0.0769,0.3333
6m,HAR-QR,7570,58,8,11.45,13.79,6.523,0.0106,0.81,0.3682,7.333,0.0256,0.1224,0.25
6m,HAR-X-QR,7570,58,10,14.15,17.24,11.514,0.0007,3.586,0.0583,15.1,0.0005,0.1277,0.4
12m,HAR-QR,7306,28,3,14.63,10.71,1.471,0.2252,---,---,---,---,0.12,0.0
12m,HAR-X-QR,7306,28,4,15.89,14.29,3.461,0.0628,0.754,0.3852,4.216,0.1215,0.125,0.3333
