lag,r_full,sig_full
-24,-0.038370,False
-23,-0.014763,False
-22,0.001867,False
-21,0.016784,False
-20,0.018217,False
-19,0.006574,False
-18,0.004720,False
-17,0.005665,False
-16,0.013709,False
-15,0.023273,False
-14,0.019843,False
-13,0.008764,False
-12,-0.007118,False
-11,-0.024165,False
-10,-0.050161,False
-9,-0.071264,False
-8,-0.091011,True
-7,-0.102811,True
-6,-0.103907,True
-5,-0.112157,True
-4,-0.127184,True
-3,-0.142118,True
-2,-0.146543,True
-1,-0.136515,True
0,-0.124985,True
1,-0.102890,True
2,-0.078400,False
3,-0.051341,False
4,-0.025859,False
5,-0.000722,False
6,0.016812,False
7,0.032768,False
8,0.052929,False
9,0.060388,False
10,0.052229,False
11,0.051718,False
12,0.064246,False
13,0.073442,False
14,0.070189,False
15,0.073921,False
16,0.071672,False
17,0.060424,False
18,0.057820,False
19,0.062004,False
20,0.067384,False
21,0.066069,False
22,0.065153,False
23,0.063326,False
24,0.046310,False
