horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,1986-04-22,500,0.00044491622259453076,0.00046662292597893945,2.1706703384408686e-05,0.21706703384408688
6m,1986-05-22,521,0.0004510580327384264,0.0004717322570895184,2.0674224351091997e-05,0.20674224351091997
6m,1986-06-23,542,0.0004553202943416072,0.000476339521484005,2.1019227142397823e-05,0.21019227142397823
6m,1986-07-22,563,0.00045253348961129316,0.0004752434397349939,2.2709950123700733e-05,0.22709950123700734
6m,1986-08-20,584,0.00045057643549246143,0.0004749068901188668,2.4330454626405348e-05,0.24330454626405348
6m,1986-09-19,605,0.0004485685899904523,0.00047506756497638357,2.6498974985931254e-05,0.26498974985931256
6m,1986-10-20,626,0.0004562537037716034,0.0004839287315701106,2.767502779850721e-05,0.2767502779850721
6m,1986-11-18,647,0.00045269460766242007,0.000482232131598822,2.9537523936401912e-05,0.2953752393640191
6m,1986-12-17,668,0.0004474680852416959,0.0004782406841071025,3.077259886540663e-05,0.3077259886540663
6m,1987-01-21,689,0.0004422496157980806,0.00047412424476493003,3.1874628966849455e-05,0.31874628966849455
6m,1987-02-19,710,0.0004398240229777585,0.0004719573940125811,3.21333710348226e-05,0.321333710348226
6m,1987-03-20,731,0.0004356666261180709,0.00046800480343004076,3.233817731196988e-05,0.3233817731196988
6m,1987-04-22,752,0.00043082761514747685,0.00046288855846588416,3.2060943318407316e-05,0.32060943318407314
6m,1987-05-22,773,0.000424293413812476,0.00045594715634294456,3.1653742530468566e-05,0.31653742530468565
6m,1987-06-23,794,0.0004192407789062758,0.00045039718206536653,3.1156403159090704e-05,0.31156403159090706
6m,1987-07-22,815,0.0004156129548340239,0.00044617222573003704,3.055927089601313e-05,0.3055927089601313
6m,1987-08-20,836,0.0004128815320702536,0.0004429201898254167,3.003865775516308e-05,0.3003865775516308
6m,1987-09-21,857,0.00040733095490612945,0.0004366806010565622,2.9349646150432767e-05,0.2934964615043277
6m,1987-10-21,878,0.0004014546019225974,0.00043017058534062895,2.8715983418031537e-05,0.2871598341803154
6m,1987-11-19,899,0.00039503626402828017,0.0004230801869186198,2.804392289033962e-05,0.2804392289033962
6m,1987-12-18,920,0.00038942757167494693,0.00041680106031830575,2.737348864335882e-05,0.2737348864335882
6m,1988-01-21,941,0.0003869302414535097,0.0004134335780298855,2.6503336576375806e-05,0.2650333657637581
6m,1988-02-19,962,0.00038270168505113257,0.00040812790631773255,2.5426221266599983e-05,0.25426221266599985
6m,1988-03-21,983,0.00037769239073073634,0.0004022225026826554,2.4530111951919073e-05,0.24530111951919073
6m,1988-04-21,1004,0.000373226468228928,0.0003973112224690127,2.4084754240084676e-05,0.24084754240084677
6m,1988-05-23,1025,0.00036688353628351665,0.00039106850526120354,2.418496897768689e-05,0.2418496897768689
6m,1988-06-22,1046,0.000361805242598721,0.00038648295479811633,2.4677712199395346e-05,0.24677712199395346
6m,1988-07-21,1067,0.00035598717645900143,0.00038120134637798555,2.5214169918984122e-05,0.2521416991898412
6m,1988-08-19,1088,0.0003501116675950047,0.0003755775077091135,2.5465840114108828e-05,0.2546584011410883
6m,1988-09-20,1109,0.0003457692041820487,0.00037131973197831786,2.5550527796269144e-05,0.25550527796269146
6m,1988-10-19,1130,0.00034334846063480644,0.0003693021465853512,2.5953685950544738e-05,0.25953685950544736
6m,1988-11-17,1151,0.000342509760608711,0.0003691998056320311,2.669004502332009e-05,0.2669004502332009
6m,1988-12-16,1172,0.0003407338055239521,0.00036807681035795495,2.7343004834002867e-05,0.27343004834002865
6m,1989-01-19,1193,0.00033949067093386794,0.00036737822014051624,2.7887549206648298e-05,0.278875492066483
6m,1989-02-17,1214,0.0003390212287515748,0.0003672803602299778,2.825913147840297e-05,0.2825913147840297
6m,1989-03-20,1235,0.0003373406678864767,0.00036568090026346383,2.8340232376987135e-05,0.28340232376987134
6m,1989-04-20,1256,0.0003346064390503996,0.000362949579774427,2.8343140724027384e-05,0.2834314072402738
6m,1989-05-22,1277,0.0003316091697161747,0.0003599353709909672,2.8326201274792473e-05,0.28326201274792473
6m,1989-06-21,1298,0.0003298379743091788,0.000357992956255599,2.815498194642024e-05,0.28154981946420243
6m,1989-07-20,1319,0.00032796758512514487,0.00035574482504102244,2.7777239915877572e-05,0.2777723991587757
6m,1989-08-18,1340,0.00032630755278679184,0.00035356650652564986,2.725895373885802e-05,0.2725895373885802
6m,1989-09-19,1361,0.00032508249444643386,0.00035195277301388895,2.6870278567455092e-05,0.2687027856745509
6m,1989-10-18,1382,0.0003239745067529213,0.0003506552965062919,2.668078975337062e-05,0.2668078975337062
6m,1989-11-16,1403,0.00032245703560207457,0.0003488268060051275,2.636977040305292e-05,0.2636977040305292
6m,1989-12-15,1424,0.00031968946879544773,0.00034554784482747797,2.5858376032030243e-05,0.25858376032030245
6m,1990-01-18,1445,0.00031622857094880895,0.00034149797862705956,2.5269407678250606e-05,0.25269407678250605
