Horizon,Quantile,QL
1d,0.05,0.0004805137563663135
1d,0.25,0.0016987704461337795
1d,0.5,0.0024710109771600456
1d,0.75,0.002397446464893928
1d,0.95,0.0011607684079733697
1w,0.05,0.0003266315547346367
1w,0.25,0.0011586765938013167
1w,0.5,0.0016432878321329897
1w,0.75,0.0015281560486248666
1w,0.95,0.0006865576782303118
1m,0.05,0.00027847376398671916
1m,0.25,0.0009216970620392298
1m,0.5,0.0012719997648286824
1m,0.75,0.0011671285695190267
1m,0.95,0.0005123484567709355
3m,0.05,0.00027704699268104037
3m,0.25,0.0008683687405239706
3m,0.5,0.001208794418805695
3m,0.75,0.0011225165074447655
3m,0.95,0.0005777533553062385
6m,0.05,0.00031122112906093846
6m,0.25,0.0009699889717212065
6m,0.5,0.001309621088668833
6m,0.75,0.0011522572194034833
6m,0.95,0.000746760684423067
12m,0.05,0.0003930493771111083
12m,0.25,0.0010494918372237413
12m,0.5,0.0013875974329294642
12m,0.75,0.001354599870161172
12m,0.95,0.0009761330852492778
