Horizon,Quantile,QL
1d,0.05,0.0005649351323051425
1d,0.25,0.0017704745551492727
1d,0.5,0.0025047914482595854
1d,0.75,0.002461950329351582
1d,0.95,0.001272109997860791
1w,0.05,0.0003883300387899778
1w,0.25,0.0011746774424247948
1w,0.5,0.0016458752869931248
1w,0.75,0.0015702441551560334
1w,0.95,0.0007482206739448011
1m,0.05,0.00030759971460592227
1m,0.25,0.0009267092271517666
1m,0.5,0.0012830988848787543
1m,0.75,0.0011863728779527751
1m,0.95,0.0005067012125746049
3m,0.05,0.00026264145589967314
3m,0.25,0.0008307046175697289
3m,0.5,0.001159626332761081
3m,0.75,0.0010595911781583816
3m,0.95,0.00047241185170174516
6m,0.05,0.00025606283444988586
6m,0.25,0.0008691147462694183
6m,0.5,0.0011914075183080024
6m,0.75,0.0010541653819950744
6m,0.95,0.0004789802632983621
12m,0.05,0.0002577638416932773
12m,0.25,0.0008915180853382837
12m,0.5,0.0011868220975330996
12m,0.75,0.0010535917741320482
12m,0.95,0.0004506092560210392
