Horizon,Quantile,QL
1d,0.05,0.00047489223130824776
1d,0.25,0.0017079575340566385
1d,0.5,0.0025068622207817617
1d,0.75,0.0024439307972791576
1d,0.95,0.0011931794539942109
1w,0.05,0.00032729330172546133
1w,0.25,0.0011692689670910012
1w,0.5,0.0016572625500421317
1w,0.75,0.001542575138840491
1w,0.95,0.0006921878579619848
1m,0.05,0.00028133283530759905
1m,0.25,0.0009413586120788038
1m,0.5,0.0012986648032840941
1m,0.75,0.0011641089577509773
1m,0.95,0.00045785962820645406
3m,0.05,0.00026269724275221557
3m,0.25,0.0008466687393501303
3m,0.5,0.0011651680699667527
3m,0.75,0.0010509094641412385
3m,0.95,0.000432568082141087
6m,0.05,0.00026897963747402466
6m,0.25,0.0009004080251355912
6m,0.5,0.0012089799170281763
6m,0.75,0.0010291896529863627
6m,0.95,0.00045402291862311144
12m,0.05,0.00027717252964214016
12m,0.25,0.0009191807266190083
12m,0.5,0.0012140829665341208
12m,0.75,0.0010317475977020154
12m,0.95,0.0004462709777809612
