Horizon,N,Model,Violations_95,Rate_95 (%)
1d,10450,HAR-QR,504,4.822966507177034
1d,10450,HAR-X-QR,502,4.803827751196172
1w,10450,HAR-QR,542,5.186602870813397
1w,10450,HAR-X-QR,545,5.215311004784689
1m,10450,HAR-QR,594,5.684210526315789
1m,10450,HAR-X-QR,641,6.133971291866028
3m,10450,HAR-QR,618,5.913875598086124
3m,10450,HAR-X-QR,678,6.488038277511962
6m,10414,HAR-QR,733,7.038601882081813
6m,10414,HAR-X-QR,928,8.911081236796619
12m,10282,HAR-QR,857,8.334954289048824
12m,10282,HAR-X-QR,1058,10.289826881929585
