Horizon,Quantile,QL
1d,0.05,0.0004802974716559025
1d,0.25,0.0016975592217515331
1d,0.5,0.002470181834614507
1d,0.75,0.0023961786206072935
1d,0.95,0.0011605055400163123
1w,0.05,0.00032581426464678567
1w,0.25,0.0011559464561146633
1w,0.5,0.0016406486819416392
1w,0.75,0.0015207295616058902
1w,0.95,0.000680843601728203
1m,0.05,0.0002696158963155637
1m,0.25,0.0009147250530912593
1m,0.5,0.0012597657498814175
1m,0.75,0.0011513330291246038
1m,0.95,0.0004764171173799373
3m,0.05,0.0002518546892485614
3m,0.25,0.0008427491166585258
3m,0.5,0.0011686139416006703
3m,0.75,0.0010799354265255512
3m,0.95,0.0004415635088958393
6m,0.05,0.0002555662085468794
6m,0.25,0.0008840962870616695
6m,0.5,0.0012248885636771355
6m,0.75,0.0010845730305114
6m,0.95,0.00041888514759991246
12m,0.05,0.0002371178929508259
12m,0.25,0.0008761292241643903
12m,0.5,0.00122140910625926
12m,0.75,0.0011408942496396682
12m,0.95,0.0003567185977993336
