Horizon,Quantile,QL_HAR-QR,QL_HAR-X-QR,QL_HAR-X-vol-12m,QL_HAR-X-vol-36m,Delta_ENSO-level,Delta_vol-12m,Delta_vol-36m
1d,0.05,0.0004748922313082,0.000473515147871,0.00047343879368680065,0.0004717389141013798,-1.3770834372000174e-06,-1.4534376213993518e-06,-3.1533172068202065e-06
1d,0.25,0.0017079575340566,0.0017001229273566,0.0017012240431441721,0.0016994545510735626,-7.834606699999884e-06,-6.733490912427765e-06,-8.502982983037274e-06
1d,0.5,0.0025068622207817,0.0024966310299616,0.0024974821691783017,0.0024950965371578174,-1.0231190820100041e-05,-9.380051603398443e-06,-1.1765683623882715e-05
1d,0.75,0.0024439307972791,0.0024362079426762,0.0024338651317246584,0.0024335811681907332,-7.722854602900103e-06,-1.0065665554441494e-05,-1.0349629088366678e-05
1d,0.95,0.0011931794539942,0.0011947038280074,0.0011965777833372975,0.0011966461248474956,1.5243740131998945e-06,3.3983293430974414e-06,3.4666708532955868e-06
1w,0.05,0.0003272933017254,0.0003266040587663,0.000326256660736317,0.00032302603784154014,-6.892429591000022e-07,-1.0366409890830413e-06,-4.2672638838598775e-06
1w,0.25,0.001169268967091,0.0011644691286718,0.0011637111364789024,0.0011621809769430836,-4.7998384191999446e-06,-5.5578306120975494e-06,-7.087990147916371e-06
1w,0.5,0.0016572625500421,0.0016545172878055,0.0016501948379103227,0.001655401113794621,-2.7452622366000174e-06,-7.0677121317772994e-06,-1.861436247479033e-06
1w,0.75,0.0015425751388404,0.0015431233858625,0.0015367294584248256,0.0015456327488565665,5.482470220999954e-07,-5.845680415574343e-06,3.0576100161665894e-06
1w,0.95,0.0006921878579619,0.0006954918239047,0.0006965357866131467,0.000701821873890514,3.303965942799995e-06,4.347928651246644e-06,9.634015928614015e-06
1m,0.05,0.0002813328353075,0.0002814440288212,0.0002748383692093641,0.00027619945425038105,1.111935136999774e-07,-6.4944660981358995e-06,-5.133381057118957e-06
1m,0.25,0.0009413586120788,0.0009401768496204,0.0009285067679509899,0.0009342847864572547,-1.1817624583999658e-06,-1.2851844127810107e-05,-7.073825621545216e-06
1m,0.5,0.001298664803284,0.0012952238299316,0.0012816653276390552,0.001307412458995801,-3.4409733523999356e-06,-1.6999475644944835e-05,8.747655711800967e-06
1m,0.75,0.0011641089577509,0.0011666231003606,0.00116169507547908,0.0011820244298325518,2.5141426096999923e-06,-2.4138822718199927e-06,1.791547208165184e-05
1m,0.95,0.0004578596282064,0.0004636217035822,0.0004636699758815654,0.0004723538377230743,5.762075375799979e-06,5.810347675165378e-06,1.4494209516674288e-05
3m,0.05,0.0002626972427522,0.0002631733405909,0.00026144006612502775,0.0002630435970606345,4.760978386999918e-07,-1.2571766271722573e-06,3.4635430843450634e-07
3m,0.25,0.0008466687393501,0.0008545446150388,0.0008318256252837585,0.0008557168015941402,7.875875688700008e-06,-1.4843114066341503e-05,9.048062244040216e-06
3m,0.5,0.0011651680699667,0.001169608999132,0.001159980660504366,0.0011931532563013386,4.440929165299909e-06,-5.187409462334078e-06,2.7985186334638593e-05
3m,0.75,0.0010509094641412,0.0010651437148058,0.0010701226759597749,0.0010881018706751715,1.4234250664600092e-05,1.9213211818574962e-05,3.7192406533971545e-05
3m,0.95,0.000432568082141,0.0004183532165236,0.0004269321727098764,0.00044117483098196153,-1.4214865617399994e-05,-5.635909431123598e-06,8.606748840961549e-06
6m,0.05,0.000268979637474,0.0002699266139691,0.0002667078064534102,0.0002803227947176712,9.469764950999909e-07,-2.2718310205897775e-06,1.1343157243671185e-05
6m,0.25,0.0009004080251355,0.0008984834436666,0.0008863210760380224,0.0009296193911295252,-1.924581468899984e-06,-1.4086949097477652e-05,2.921136599402514e-05
6m,0.5,0.0012089799170281,0.0012097574529427,0.0012015868668494075,0.001233355791525627,7.775359146000062e-07,-7.393050178692434e-06,2.4375874497527e-05
6m,0.75,0.0010291896529863,0.0010350739299494,0.0010426542772683741,0.0010657996014117245,5.884276963100078e-06,1.3464624282074093e-05,3.6609948425424515e-05
6m,0.95,0.0004540229186231,0.000387462387769,0.00039532070273921133,0.0004284695192241083,-6.65605308541e-05,-5.870221588388867e-05,-2.555339939899168e-05
12m,0.05,0.0002771725296421,0.0002659381627006,0.0002591181217759108,0.000289678236532813,-1.1234366941499966e-05,-1.8054407866189214e-05,1.2505706890713014e-05
12m,0.25,0.000919180726619,0.0008862540171071,0.0008937093964706875,0.0009417011518978343,-3.292670951190004e-05,-2.5471330148312552e-05,2.2520425278834333e-05
12m,0.5,0.0012140829665341,0.0012004553780121,0.0012037839523430347,0.0012401605832507434,-1.362758852200001e-05,-1.0299014191065279e-05,2.6077616716643466e-05
12m,0.75,0.001031747597702,0.0010406828413026,0.0010075287424570404,0.0011059179753081024,8.935243600600041e-06,-2.42188552449596e-05,7.417037760610234e-05
12m,0.95,0.0004462709777809,0.0003327507937958,0.00033914548519941115,0.00041712033370834036,-0.00011352018398509998,-0.00010712549258148885,-2.915064407255964e-05
