Horizon,Quantile,QL
1d,0.05,0.0004717389141013798
1d,0.25,0.0016994545510735626
1d,0.5,0.0024950965371578174
1d,0.75,0.0024335811681907332
1d,0.95,0.0011966461248474956
1w,0.05,0.00032302603784154014
1w,0.25,0.0011621809769430836
1w,0.5,0.001655401113794621
1w,0.75,0.0015456327488565665
1w,0.95,0.000701821873890514
1m,0.05,0.00027619945425038105
1m,0.25,0.0009342847864572547
1m,0.5,0.001307412458995801
1m,0.75,0.0011820244298325518
1m,0.95,0.0004723538377230743
3m,0.05,0.0002630435970606345
3m,0.25,0.0008557168015941402
3m,0.5,0.0011931532563013386
3m,0.75,0.0010881018706751715
3m,0.95,0.00044117483098196153
6m,0.05,0.0002803227947176712
6m,0.25,0.0009296193911295252
6m,0.5,0.001233355791525627
6m,0.75,0.0010657996014117245
6m,0.95,0.0004284695192241083
12m,0.05,0.000289678236532813
12m,0.25,0.0009417011518978343
12m,0.5,0.0012401605832507434
12m,0.75,0.0011059179753081024
12m,0.95,0.00041712033370834036
