Horizon,Quantile,QL
1d,0.05,0.0004806876483042766
1d,0.25,0.0016985151499039899
1d,0.5,0.0024711463060400245
1d,0.75,0.002397977395712645
1d,0.95,0.001161937251372474
1w,0.05,0.00032712072193461986
1w,0.25,0.0011596991300940294
1w,0.5,0.001648650616411103
1w,0.75,0.0015335892638264322
1w,0.95,0.0006863751454094998
1m,0.05,0.0002784152984736399
1m,0.25,0.0009287861710615677
1m,0.5,0.0012786183055471954
1m,0.75,0.0011842083416130976
1m,0.95,0.0005398507927716134
3m,0.05,0.00027327028597985914
3m,0.25,0.0008875047868021992
3m,0.5,0.0012274704744584413
3m,0.75,0.001161027535793829
3m,0.95,0.0006099550415580098
6m,0.05,0.0003143466639553516
6m,0.25,0.0009757432542870055
6m,0.5,0.0013327969637914674
6m,0.75,0.0012037865061576448
6m,0.95,0.0008073114637824747
12m,0.05,0.00036399678491998285
12m,0.25,0.0010150534680606845
12m,0.5,0.001378375016172259
12m,0.75,0.0014786226802176975
12m,0.95,0.0010470922576315028
