Lag,Horizon,Quantile,QL,N
0,1m,0.95,0.00047759114277273377,7812
1,1m,0.95,0.0004775079455793941,7812
3,1m,0.95,0.0004684271526933073,7812
6,1m,0.95,0.0004711600110252034,7812
12,1m,0.95,0.00047270747807976257,7812
0,6m,0.95,0.000418878395389778,7702
1,6m,0.95,0.0004093159143918266,7702
3,6m,0.95,0.0004080561161310199,7702
6,6m,0.95,0.0004430145132070602,7702
12,6m,0.95,0.0005174018846613895,7702
0,12m,0.95,0.0003567185977993336,7570
1,12m,0.95,0.00034327258145655607,7570
3,12m,0.95,0.0003836455091541583,7570
6,12m,0.95,0.0004661778229634177,7570
12,12m,0.95,0.0004799810245332577,7570
