Horizon,Model,Mean QLIKE,MCS p-value,In M*
1d,Historical Vol,-7.1646820847475965,0.013,False
1d,"GARCH(1,1)",-7.246649348638864,0.013,False
1d,HAR-OLS,-7.310932654518092,1.0,True
1d,HAR-QR (med.),-7.177438653981108,0.0034,False
1d,HAR-X-QR (med.),-7.177041717334935,0.0029,False
1w,Historical Vol,-7.401788964372374,0.0373,False
1w,"GARCH(1,1)",-7.391659915930197,0.0017,False
1w,HAR-OLS,-7.4903031774612,1.0,True
1w,HAR-QR (med.),-7.466211136513942,0.0373,False
1w,HAR-X-QR (med.),-7.464756082427102,0.0373,False
1m,Historical Vol,-7.464725113039336,0.0672,False
1m,"GARCH(1,1)",-7.4073205882946915,0.0,False
1m,HAR-OLS,-7.527947634619032,1.0,True
1m,HAR-QR (med.),-7.520640525718222,0.0983,False
1m,HAR-X-QR (med.),-7.518588833405515,0.0983,False
3m,Historical Vol,-7.4584039607272725,0.0991,False
3m,"GARCH(1,1)",-7.377065018725841,0.0004,False
3m,HAR-OLS,-7.517882664327647,1.0,True
3m,HAR-QR (med.),-7.51382785090942,0.3838,True
3m,HAR-X-QR (med.),-7.508484571201899,0.3101,True
6m,Historical Vol,-7.4389683138093305,0.102,True
6m,"GARCH(1,1)",-7.353240337059435,0.0013,False
6m,HAR-OLS,-7.492478806439834,1.0,True
6m,HAR-QR (med.),-7.486569299657879,0.2998,True
6m,HAR-X-QR (med.),-7.481017561633014,0.2998,True
12m,Historical Vol,-7.418390848104793,0.0583,False
12m,"GARCH(1,1)",-7.344277465368573,0.0096,False
12m,HAR-OLS,-7.4851033624072985,1.0,True
12m,HAR-QR (med.),-7.47089343063572,0.2537,True
12m,HAR-X-QR (med.),-7.46921222805449,0.2537,True
