Horizon,Quantile,Model,Mean QL,MCS p-value,In M*
1d,0.05,Historical Vol,0.0005120343320108,0.014,False
1d,0.05,"GARCH(1,1)",0.0006107212580714332,0.0,False
1d,0.05,HAR-OLS,0.0005607417059032618,0.014,False
1d,0.05,HAR-QR,0.0004802787463858947,1.0,True
1d,0.05,HAR-X-QR,0.00048038554565818737,0.789,True
1d,0.25,Historical Vol,0.0018491456143055374,0.0024,False
1d,0.25,"GARCH(1,1)",0.0020564291998047103,0.0,False
1d,0.25,HAR-OLS,0.0017444203750499798,0.0048,False
1d,0.25,HAR-QR,0.0016984697787671824,0.75,True
1d,0.25,HAR-X-QR,0.0016981285357898837,1.0,True
1d,0.5,Historical Vol,0.0027326882026087037,0.008,False
1d,0.5,"GARCH(1,1)",0.0033144901368863345,0.0,False
1d,0.5,HAR-OLS,0.0024670604340127126,1.0,True
1d,0.5,HAR-QR,0.0024703756163959776,0.5938,True
1d,0.5,HAR-X-QR,0.0024703723409475846,0.5938,True
1d,0.75,Historical Vol,0.002674732098988113,0.0118,False
1d,0.75,"GARCH(1,1)",0.003100062346803352,0.0,False
1d,0.75,HAR-OLS,0.0024080298484155218,0.0845,False
1d,0.75,HAR-QR,0.0023961474334084957,1.0,True
1d,0.75,HAR-X-QR,0.002396724398041173,0.747,True
1d,0.95,Historical Vol,0.0012816443322281848,0.0664,False
1d,0.95,"GARCH(1,1)",0.0012836544820190201,0.0007,False
1d,0.95,HAR-OLS,0.00122940473135486,0.0664,False
1d,0.95,HAR-QR,0.0011591808139034428,1.0,True
1d,0.95,HAR-X-QR,0.0011602054978852938,0.2787,True
1w,0.05,Historical Vol,0.0003737145441533034,0.0157,False
1w,0.05,"GARCH(1,1)",0.00046644841290629266,0.0025,False
1w,0.05,HAR-OLS,0.00039057852835538867,0.0418,False
1w,0.05,HAR-QR,0.00032586974428334265,1.0,True
1w,0.05,HAR-X-QR,0.0003266170998714727,0.582,True
1w,0.25,Historical Vol,0.0013343674996322999,0.0027,False
1w,0.25,"GARCH(1,1)",0.0017268000628351977,0.0,False
1w,0.25,HAR-OLS,0.0011764107812783247,0.3363,True
1w,0.25,HAR-QR,0.0011575431165848965,1.0,True
1w,0.25,HAR-X-QR,0.0011587387041910365,0.6779,True
1w,0.5,Historical Vol,0.0019064309686460874,0.0123,False
1w,0.5,"GARCH(1,1)",0.002517248893524073,0.0,False
1w,0.5,HAR-OLS,0.0016366050543647193,1.0,True
1w,0.5,HAR-QR,0.0016394751368919668,0.5712,True
1w,0.5,HAR-X-QR,0.0016446872329978956,0.0897,False
1w,0.75,Historical Vol,0.0017909363754211656,0.0246,False
1w,0.75,"GARCH(1,1)",0.002175267432070387,0.0,False
1w,0.75,HAR-OLS,0.001556536428014239,0.0304,False
1w,0.75,HAR-QR,0.0015234549606258612,1.0,True
1w,0.75,HAR-X-QR,0.0015281159953895874,0.0764,False
1w,0.95,Historical Vol,0.0008309135890556222,0.0528,False
