Model,Horizon,MSE,RMSE,MAE,N
Historical Vol,1d,8.030807746715847e-05,0.008961477415424225,0.005588044925789836,7758
"GARCH(1,1)",1d,8.311035228494377e-05,0.009116487935874416,0.006626015239393261,7758
HAR-OLS,1d,6.571112663837826e-05,0.00810623998154374,0.005101839746526495,7737
HAR-QR (med.),1d,6.905414194996508e-05,0.008309882186286704,0.004940751232791955,7737
HAR-X-QR (med.),1d,6.900335477202601e-05,0.008306825794009768,0.004940744681895169,7737
Historical Vol,1w,3.587378548570477e-05,0.005989472888802885,0.0037750254052705025,7754
"GARCH(1,1)",1w,4.1069935197846954e-05,0.0064085829321189995,0.0050367811460149845,7754
HAR-OLS,1w,2.5357953272567482e-05,0.005035668105879049,0.003350327099296176,7733
HAR-QR (med.),1w,2.6447553279379844e-05,0.005142718471720948,0.0032789502737839336,7733
HAR-X-QR (med.),1w,2.6545068708645697e-05,0.00515219067083563,0.0032893744659957913,7733
Historical Vol,1m,2.3000690116007685e-05,0.0047959034723405024,0.0029651683195491044,7737
"GARCH(1,1)",1m,2.9314816324080626e-05,0.00541431586851752,0.004401264271441594,7737
HAR-OLS,1m,1.4523613127518349e-05,0.0038109858471947057,0.0025655161764317693,7716
HAR-QR (med.),1m,1.487160713516443e-05,0.0038563722765267918,0.002534640129056517,7716
HAR-X-QR (med.),1m,1.5220101226043555e-05,0.003901294814038482,0.002550348265015972,7716
Historical Vol,3m,2.2545362952260984e-05,0.0047481957575758165,0.0028904855941786697,7693
"GARCH(1,1)",3m,2.8280732224152652e-05,0.005317963164986446,0.004210061962556501,7693
HAR-OLS,3m,1.3966605237131032e-05,0.003737192159513748,0.0024319170816124794,7672
HAR-QR (med.),3m,1.3787984128772981e-05,0.003713217490098443,0.0024011108864613424,7672
HAR-X-QR (med.),3m,1.439921509465738e-05,0.003794629770433129,0.002438169050111922,7672
Historical Vol,6m,2.3042851542708594e-05,0.004800297026508734,0.002971095413774937,7591
"GARCH(1,1)",6m,2.9190930086569363e-05,0.005402863137871379,0.004225256323341332,7591
HAR-OLS,6m,1.544386953958882e-05,0.0039298688959797145,0.0025681335112698626,7570
HAR-QR (med.),6m,1.60295775819136e-05,0.0040036954906578,0.0026079310491452733,7570
HAR-X-QR (med.),6m,1.6564505885317905e-05,0.0040699515826748975,0.002633839744840441,7570
Historical Vol,12m,2.4764549335841087e-05,0.0049763992339683805,0.0032807232063784752,7327
"GARCH(1,1)",12m,2.9141675374621118e-05,0.0053983030087816596,0.004310497321639075,7327
HAR-OLS,12m,1.7581128383556725e-05,0.004192985616903154,0.0027448594086359273,7306
HAR-QR (med.),12m,1.7563108127576843e-05,0.0041908362086315,0.0027614219330543656,7306
HAR-X-QR (med.),12m,1.7611438337052427e-05,0.004196598424563926,0.002716688973726201,7306
