Horizon,Quantile,QL_base_full,QL_base_pre,N_full,N_precrisis,QL_enso_full,QL_enso_pre,Delta_full,Delta_pre
1d,0.05,0.00047489223130824787,0.000451400861896962,10545,10076,0.00047351514787107555,0.0004518704321130345,-1.377083437172316e-06,4.6957021607245105e-07
1d,0.25,0.001707957534056639,0.001618456932175543,10545,10076,0.001700122927356612,0.0016176136249547157,-7.834606700026989e-06,-8.433072208272746e-07
1d,0.5,0.0025068622207817617,0.002376783132515489,10545,10076,0.0024966310299616044,0.002376917305320337,-1.0231190820157287e-05,1.3417280484784647e-07
1d,0.75,0.0024439307972791567,0.002317035520930025,10545,10076,0.002436207942676232,0.0023179848524635094,-7.722854602924822e-06,9.493315334843482e-07
1d,0.95,0.0011931794539942109,0.0011378944317275246,10545,10076,0.0011947038280074433,0.0011399078176193137,1.5243740132324206e-06,2.013385891789154e-06
1w,0.05,0.0003272933017254612,0.00030697694274812103,10541,10076,0.00032660405876633466,0.00030761071512082686,-6.892429591265651e-07,6.33772372705824e-07
1w,0.25,0.0011692689670910006,0.0010908031761827116,10541,10076,0.0011644691286718304,0.0010902383550414124,-4.7998384191702374e-06,-5.648211412992606e-07
1w,0.5,0.0016572625500421313,0.0015451264378344414,10541,10076,0.0016545172878055978,0.0015484137624526863,-2.7452622365334474e-06,3.2873246182448662e-06
1w,0.75,0.0015425751388404903,0.0014441339522284684,10541,10076,0.0015431233858625827,0.0014474113265797004,5.48247022092406e-07,3.2773743512319684e-06
1w,0.95,0.0006921878579619849,0.0006550371636652845,10541,10076,0.0006954918239047647,0.0006578117188889718,3.303965942779829e-06,2.7745552236873227e-06
1m,0.05,0.0002813328353075982,0.00026296764771537365,10524,10076,0.00028144402882124145,0.000264153421651691,1.1119351364327363e-07,1.1857739363173325e-06
1m,0.25,0.0009413586120788032,0.0008699113963984122,10524,10076,0.0009401768496204465,0.0008720054679011672,-1.1817624583567062e-06,2.094071502755008e-06
1m,0.5,0.001298664803284093,0.0011954882782448128,10524,10076,0.0012952238299316528,0.001197005614797134,-3.440973352440268e-06,1.5173365523210927e-06
1m,0.75,0.0011641089577509773,0.0010671331585579626,10524,10076,0.0011666231003606546,0.0010723022047600254,2.514142609677224e-06,5.1690462020627555e-06
1m,0.95,0.0004578596282064544,0.0004108643222186791,10524,10076,0.00046362170358223517,0.00041920686207691803,5.762075375780789e-06,8.342539858238946e-06
3m,0.05,0.0002626972427522144,0.00024684668213110827,10480,10076,0.0002631733405909962,0.00024589747718506194,4.760978387818491e-07,-9.492049460463337e-07
3m,0.25,0.0008466687393501297,0.0007892183202211027,10480,10076,0.0008545446150388766,0.0007963195687818047,7.875875688746954e-06,7.1012485607019945e-06
3m,0.5,0.0011651680699667516,0.0010711547169663794,10480,10076,0.0011696089991320483,0.0010741513358051953,4.440929165296656e-06,2.996618838815813e-06
3m,0.75,0.001050909464141238,0.0009453250693664257,10480,10076,0.001065143714805886,0.0009597615848196349,1.4234250664648014e-05,1.4436515453209245e-05
3m,0.95,0.0004325680821410873,0.0003682769268152327,10480,10076,0.0004183532165236418,0.0003699026878759165,-1.421486561744553e-05,1.6257610606838194e-06
6m,0.05,0.00026897963747402233,0.0002565759434196428,10414,10076,0.00026992661396913853,0.0002574285325875249,9.469764951161998e-07,8.525891678820953e-07
6m,0.25,0.0009004080251355901,0.0008458593382202767,10414,10076,0.0008984834436666343,0.000843669599143206,-1.9245814689558202e-06,-2.1897390770706914e-06
6m,0.5,0.0012089799170281758,0.0011256987486699308,10414,10076,0.001209757452942795,0.0011253582537818633,7.775359146190881e-07,-3.4049488806752425e-07
6m,0.75,0.001029189652986362,0.0009427773519523081,10414,10076,0.001035073929949402,0.0009507265099362521,5.884276963040013e-06,7.949157983944003e-06
6m,0.95,0.00045402291862311247,0.00040287980688787594,10414,10076,0.000387462387769017,0.0003647113305263124,-6.656053085409545e-05,-3.816847636156352e-05
12m,0.05,0.00027717252964213734,0.00026880985164507955,10282,10076,0.0002659381627006754,0.00025728961737295935,-1.1234366941461965e-05,-1.1520234272120202e-05
12m,0.25,0.0009191807266190081,0.0008853777733688985,10282,10076,0.0008862540171071706,0.0008522854856519271,-3.292670951183759e-05,-3.3092287716971315e-05
12m,0.5,0.0012140829665341208,0.001153714185957452,10282,10076,0.0012004553780121461,0.0011406247768732834,-1.362758852197464e-05,-1.308940908416865e-05
12m,0.75,0.001031747597702015,0.0009645896350621915,10282,10076,0.0010406828413026883,0.0009888999854280392,8.935243600673333e-06,2.4310350365847706e-05
12m,0.95,0.00044627097778096266,0.0004175373716545087,10282,10076,0.00033275079379588426,0.00032797903872608446,-0.0001135201839850784,-8.955833292842425e-05
