Horizon,Quantile,Model,QL_full,QL_precrisis,N_full,N_precrisis
1d,0.05,HAR-QR,0.00047489223130824787,0.000451400861896962,10545,10076
1d,0.05,HAR-X-QR,0.00047351514787107555,0.0004518704321130345,10450,10076
1d,0.25,HAR-QR,0.001707957534056639,0.001618456932175543,10545,10076
1d,0.25,HAR-X-QR,0.001700122927356612,0.0016176136249547157,10450,10076
1d,0.5,HAR-QR,0.0025068622207817617,0.002376783132515489,10545,10076
1d,0.5,HAR-X-QR,0.0024966310299616044,0.002376917305320337,10450,10076
1d,0.75,HAR-QR,0.0024439307972791567,0.002317035520930025,10545,10076
1d,0.75,HAR-X-QR,0.002436207942676232,0.0023179848524635094,10450,10076
1d,0.95,HAR-QR,0.0011931794539942109,0.0011378944317275246,10545,10076
1d,0.95,HAR-X-QR,0.0011947038280074433,0.0011399078176193137,10450,10076
1w,0.05,HAR-QR,0.0003272933017254612,0.00030697694274812103,10541,10076
1w,0.05,HAR-X-QR,0.00032660405876633466,0.00030761071512082686,10450,10076
1w,0.25,HAR-QR,0.0011692689670910006,0.0010908031761827116,10541,10076
1w,0.25,HAR-X-QR,0.0011644691286718304,0.0010902383550414124,10450,10076
1w,0.5,HAR-QR,0.0016572625500421313,0.0015451264378344414,10541,10076
1w,0.5,HAR-X-QR,0.0016545172878055978,0.0015484137624526863,10450,10076
1w,0.75,HAR-QR,0.0015425751388404903,0.0014441339522284684,10541,10076
1w,0.75,HAR-X-QR,0.0015431233858625827,0.0014474113265797004,10450,10076
1w,0.95,HAR-QR,0.0006921878579619849,0.0006550371636652845,10541,10076
1w,0.95,HAR-X-QR,0.0006954918239047647,0.0006578117188889718,10450,10076
1m,0.05,HAR-QR,0.0002813328353075982,0.00026296764771537365,10524,10076
1m,0.05,HAR-X-QR,0.00028144402882124145,0.000264153421651691,10450,10076
1m,0.25,HAR-QR,0.0009413586120788032,0.0008699113963984122,10524,10076
1m,0.25,HAR-X-QR,0.0009401768496204465,0.0008720054679011672,10450,10076
1m,0.5,HAR-QR,0.001298664803284093,0.0011954882782448128,10524,10076
1m,0.5,HAR-X-QR,0.0012952238299316528,0.001197005614797134,10450,10076
1m,0.75,HAR-QR,0.0011641089577509773,0.0010671331585579626,10524,10076
1m,0.75,HAR-X-QR,0.0011666231003606546,0.0010723022047600254,10450,10076
1m,0.95,HAR-QR,0.0004578596282064544,0.0004108643222186791,10524,10076
1m,0.95,HAR-X-QR,0.00046362170358223517,0.00041920686207691803,10450,10076
3m,0.05,HAR-QR,0.0002626972427522144,0.00024684668213110827,10480,10076
3m,0.05,HAR-X-QR,0.0002631733405909962,0.00024589747718506194,10450,10076
3m,0.25,HAR-QR,0.0008466687393501297,0.0007892183202211027,10480,10076
3m,0.25,HAR-X-QR,0.0008545446150388766,0.0007963195687818047,10450,10076
3m,0.5,HAR-QR,0.0011651680699667516,0.0010711547169663794,10480,10076
3m,0.5,HAR-X-QR,0.0011696089991320483,0.0010741513358051953,10450,10076
3m,0.75,HAR-QR,0.001050909464141238,0.0009453250693664257,10480,10076
3m,0.75,HAR-X-QR,0.001065143714805886,0.0009597615848196349,10450,10076
3m,0.95,HAR-QR,0.0004325680821410873,0.0003682769268152327,10480,10076
3m,0.95,HAR-X-QR,0.0004183532165236418,0.0003699026878759165,10450,10076
6m,0.05,HAR-QR,0.00026897963747402233,0.0002565759434196428,10414,10076
6m,0.05,HAR-X-QR,0.00026992661396913853,0.0002574285325875249,10414,10076
6m,0.25,HAR-QR,0.0009004080251355901,0.0008458593382202767,10414,10076
6m,0.25,HAR-X-QR,0.0008984834436666343,0.000843669599143206,10414,10076
6m,0.5,HAR-QR,0.0012089799170281758,0.0011256987486699308,10414,10076
6m,0.5,HAR-X-QR,0.001209757452942795,0.0011253582537818633,10414,10076
6m,0.75,HAR-QR,0.001029189652986362,0.0009427773519523081,10414,10076
6m,0.75,HAR-X-QR,0.001035073929949402,0.0009507265099362521,10414,10076
6m,0.95,HAR-QR,0.00045402291862311247,0.00040287980688787594,10414,10076
6m,0.95,HAR-X-QR,0.000387462387769017,0.0003647113305263124,10414,10076
12m,0.05,HAR-QR,0.00027717252964213734,0.00026880985164507955,10282,10076
12m,0.05,HAR-X-QR,0.0002659381627006754,0.00025728961737295935,10282,10076
12m,0.25,HAR-QR,0.0009191807266190081,0.0008853777733688985,10282,10076
12m,0.25,HAR-X-QR,0.0008862540171071706,0.0008522854856519271,10282,10076
12m,0.5,HAR-QR,0.0012140829665341208,0.001153714185957452,10282,10076
12m,0.5,HAR-X-QR,0.0012004553780121461,0.0011406247768732834,10282,10076
12m,0.75,HAR-QR,0.001031747597702015,0.0009645896350621915,10282,10076
12m,0.75,HAR-X-QR,0.0010406828413026883,0.0009888999854280392,10282,10076
12m,0.95,HAR-QR,0.00044627097778096266,0.0004175373716545087,10282,10076
12m,0.95,HAR-X-QR,0.00033275079379588426,0.00032797903872608446,10282,10076
