Horizon,Quantile,QL_base_full,QL_base_pre,N_full,N_precrisis,QL_HAR-X-QR_full,QL_HAR-X-QR_pre,Delta_full_HAR-X-QR,Delta_pre_HAR-X-QR,QL_HAR-X-vol-12m_full,QL_HAR-X-vol-12m_pre,Delta_full_HAR-X-vol-12m,Delta_pre_HAR-X-vol-12m,QL_HAR-X-vol-36m_full,QL_HAR-X-vol-36m_pre,Delta_full_HAR-X-vol-36m,Delta_pre_HAR-X-vol-36m
1d,0.05,0.00047489223130824787,0.000451400861896962,10545,10076,0.00047351514787107555,0.0004518704321130345,-1.377083437172316e-06,4.6957021607245105e-07,0.00047343879368680065,0.00045186904070472576,-1.4534376214472193e-06,4.6817880776373055e-07,0.00047173891410137996,0.0004502327527401335,-3.1533172068679114e-06,-1.1681091568285003e-06
1d,0.25,0.001707957534056639,0.001618456932175543,10545,10076,0.001700122927356612,0.0016176136249547157,-7.834606700026989e-06,-8.433072208272746e-07,0.0017012240431441724,0.0016189958556083331,-6.73349091246658e-06,5.389234327901008e-07,0.0016994545510735626,0.001616695809894284,-8.502982983076305e-06,-1.7611222812589835e-06
1d,0.5,0.0025068622207817617,0.002376783132515489,10545,10076,0.0024966310299616044,0.002376917305320337,-1.0231190820157287e-05,1.3417280484784647e-07,0.0024974821691783017,0.002377938397650209,-9.380051603460025e-06,1.155265134720248e-06,0.0024950965371578174,0.0023748416833472286,-1.1765683623944298e-05,-1.941449168260407e-06
1d,0.75,0.0024439307972791567,0.002317035520930025,10545,10076,0.002436207942676232,0.0023179848524635094,-7.722854602924822e-06,9.493315334843482e-07,0.0024338651317246576,0.0023159520375718506,-1.0065665554499174e-05,-1.0834833581744793e-06,0.0024335811681907332,0.002315310728130142,-1.034962908842349e-05,-1.7247927998832908e-06
1d,0.95,0.0011931794539942109,0.0011378944317275246,10545,10076,0.0011947038280074433,0.0011399078176193137,1.5243740132324206e-06,2.013385891789154e-06,0.0011965777833372977,0.0011414071304940705,3.398329343086816e-06,3.5126987665459308e-06,0.0011966461248474956,0.001141030603343822,3.4666708532847448e-06,3.1361716162974992e-06
1w,0.05,0.0003272933017254612,0.00030697694274812103,10541,10076,0.00032660405876633466,0.00030761071512082686,-6.892429591265651e-07,6.33772372705824e-07,0.000326256660736317,0.00030737308677247023,-1.0366409891442445e-06,3.961440243491969e-07,0.00032302603784153987,0.00030458322201645923,-4.267263883921352e-06,-2.3937207316618e-06
1w,0.25,0.0011692689670910006,0.0010908031761827116,10541,10076,0.0011644691286718304,0.0010902383550414124,-4.7998384191702374e-06,-5.648211412992606e-07,0.001163711136478902,0.001090280331865881,-5.557830612098634e-06,-5.228443168306222e-07,0.001162180976943083,0.0010881420747508367,-7.087990147917672e-06,-2.6611014318749914e-06
1w,0.5,0.0016572625500421313,0.0015451264378344414,10541,10076,0.0016545172878055978,0.0015484137624526863,-2.7452622365334474e-06,3.2873246182448662e-06,0.0016501948379103227,0.00154402797363641,-7.0677121318085245e-06,-1.098464198031517e-06,0.0016554011137946203,0.0015463696319509281,-1.8614362475109086e-06,1.2431941164867209e-06
1w,0.75,0.0015425751388404903,0.0014441339522284684,10541,10076,0.0015431233858625827,0.0014474113265797004,5.48247022092406e-07,3.2773743512319684e-06,0.0015367294584248254,0.0014408651517147863,-5.845680415664982e-06,-3.268800513682099e-06,0.0015456327488565665,0.0014466608950685017,3.057610016076167e-06,2.526942840033351e-06
1w,0.95,0.0006921878579619849,0.0006550371636652845,10541,10076,0.0006954918239047647,0.0006578117188889718,3.303965942779829e-06,2.7745552236873227e-06,0.000696535786613147,0.000659710247252887,4.3479286511620766e-06,4.6730835876025115e-06,0.0007018218738905142,0.0006654115603058175,9.634015928529339e-06,1.0374396640532978e-05
